Sample	Bismark_aligned_reads	Bismark_percent_aligned
10_32_S32_trimmed_1P	235723.0	41.0419851448
11_37_S37_trimmed_1P	202958.0	29.1789948272
12_38_S38_trimmed_1P	245709.0	28.396833817
13_33_S33_trimmed_1P	280745.0	43.4947975732
14_34_S34_trimmed_1P	318166.0	46.0026083461
15_39_S39_trimmed_1P	208212.0	31.0150821137
16_40_S40_trimmed_1P	253130.0	32.7971443564
17_9_S9_trimmed_1P	82644.0	20.4634762951
18_10_S10_trimmed_1P	201593.0	38.3678992655
19_7_S7_trimmed_1P	124444.0	33.4826605537
1_25_S25_trimmed_1P	77996.0	15.9783011736
20_8_S8_trimmed_1P	144003.0	45.7265608627
2_26_S26_trimmed_1P	20601.0	12.1932597038
3_27_S27_trimmed_1P	5445.0	2.3505085214
4_28_S28_trimmed_1P	33526.0	12.0136885672
5_35_S35_trimmed_1P	4180.0	19.1199341323
6_36_S36_trimmed_1P	6316.0	20.1454452666
7_29_S29_trimmed_1P	214100.0	34.9269324006
8_30_S30_trimmed_1P	218551.0	32.8533010239
9_31_S31_trimmed_1P	262119.0	44.0206164791
